排名,排名变化,姓名,财富（亿元人民币）,涨幅,公司,居住地,主业,年龄
1,0,钟睒睒,4550,17%,养生堂,浙江杭州,饮料、医疗保健,68
2,0,张一鸣,2450,-28%,字节跳动,北京,社交媒体,39
3,0,曾毓群,2300,-28%,宁德时代,福建宁德,锂电池,54
4,4,李嘉诚家族,2200,2%,长江实业,香港,投资,94
5,-1,马化腾,2150,-32%,腾讯,广东深圳,互联网服务,51
6,8,丁磊,1950,14%,网易,浙江杭州,互联网技术,51
7,2,何享健家族,1900,-11%,美的,广东佛山,家电制造、房地产,80
8,7,秦英林、钱瑛夫妇,1850,9%,牧原,河南南阳,畜牧,"57, 56"
9,-4,马云家族,1800,-29%,阿里系,浙江杭州,电子商务、金融科技,58
10,-4,黄峥,1700,-26%,拼多多,上海,购物网站,42
11,1,陈建华、范红卫夫妇,1500,-16%,恒力,江苏苏州,化纤、石化、房地产,"51, 55"
11,17,刘永行、刘相宇父子,1500,15%,东方希望,上海,氧化铝、重化工、饲料,"74, 47"
11,14,吕向阳、张长虹夫妇,1500,10%,融捷,广东广州,投资,"60, 61"
14,1,李兆基,1450,-15%,恒基兆业,香港,房地产,94
14,6,王传福,1450,2%,比亚迪,广东深圳,汽车、充电电池,56
14,-4,王卫,1450,-25%,顺丰,香港,快递,52
14,16,严昊,1450,16%,太平洋建设,江苏南京,基础建设,36
18,0,郑家纯家族,1400,-10%,周大福,香港,房地产,75
19,14,李蔡美灵家族,1350,13%,李锦记,香港,调味品,-
19,-6,李书福家族,1350,-23%,吉利,浙江杭州,汽车制造,59
21,-4,庞康,1300,-18%,海天味业,广东佛山,调味品,66
21,-14,魏建军、韩雪娟夫妇,1300,-40%,长城,河北保定,汽车制造,"58, 56"
23,7,刘汉元、管亚梅夫妇,1250,0%,通威,四川成都,新能源、农业,"58, 58"
24,15,吴光正家族,1200,9%,会德丰,香港,房地产,76
25,-6,王兴,1150,-21%,美团,北京,生活服务,43
26,-2,黄世霖,1100,-20%,宁德时代,福建宁德,锂电池,55
26,11,李西廷,1100,-4%,迈瑞,新加坡,医疗器械,71
26,10,王文银家族,1100,-5%,正威,广东深圳,有色金属贸易,54
26,9,徐航,1100,-7%,迈瑞、鹏瑞,广东深圳,医疗器械、房地产,60
30,-4,刘强东、章泽天夫妇,1050,-22%,京东,北京,电子商务、金融,49
30,7,严彬,1050,-9%,华彬,北京,饮料、地产,68
32,36,吕志和家族,1000,33%,银河,香港,博彩,93
32,9,王健林家族,1000,-5%,万达,北京,房地产、文化,68
32,1,宗庆后家族,1000,-17%,娃哈哈,浙江杭州,饮料,77
35,-14,罗立国家族,980,-30%,合盛,浙江宁波,硅材料,66
36,-10,陈邦,950,-30%,爱尔眼科,湖南长沙,医疗服务,57
36,5,刘永好家族,950,-10%,新希望,四川成都,农业、化工、金融,71
36,36,张刚家族,950,32%,信发铝电,山东聊城,电解铝、氧化铝,41
36,-7,张志东,950,-25%,腾讯,广东深圳,互联网服务,50
40,11,刘銮雄家族,910,1%,华人置业,香港,房地产,71
41,20,林立,885,9%,立业,广东深圳,投资,59
42,4,陈东升家族,825,-13%,泰康,北京,保险,65
43,-22,蒋仁生家族,820,-41%,智飞生物,重庆,疫苗,69
43,0,郑淑良家族,820,-20%,魏桥创业,山东滨州,铝业、纺织,76
45,69,赵长鹏,800,54%,币安,迪拜,虚拟货币交易所,45
46,13,李彦宏、马东敏夫妇,755,-10%,百度,北京,网络信息服务,"54, 52"
47,41,杜双华,750,21%,日照钢铁,山东日照,钢铁,57
47,-26,雷军,750,-46%,小米,北京,智能硬件与技术、投资,53
47,-36,杨惠妍家族,750,-59%,碧桂园,广东佛山,房地产、教育,41
50,15,王玉锁、赵宝菊夫妇,735,-6%,新奥,河北廊坊,天然气、能源化工,"58, 57"
50,-4,吴亚军家族,735,-23%,龙湖,北京,房地产,58
52,-7,党彦宝,730,-27%,宝丰,宁夏银川,煤化工,49
53,1,李振国、李喜燕夫妇,725,-18%,隆基,陕西西安,硅材料,"54, 54"
54,52,靳保芳家族,710,29%,晶澳科技,河北邢台,光伏,70
54,-11,李水荣,710,-31%,荣盛控股,浙江杭州,化纤,66
56,26,梁稳根,700,4%,三一,湖南长沙,重型机械,66
57,18,邝肖卿,695,-1%,新鸿基,香港,房地产,93
57,-2,徐浩宇家族,695,-21%,扬子江药业,江苏泰州,医药,50
59,-8,其实家族,690,-23%,东方财富,上海,信息服务,52
60,-11,裴振华、容建芬夫妇,685,-26%,天华超净,江苏苏州,超净产品,"63, 59"
61,32,黄楚龙家族,650,10%,星河,广东深圳,房地产、投资,63
61,13,李华,650,-8%,卓越,广东深圳,房地产,56
63,27,朱保国家族,640,7%,健康元,广东深圳,医药,60
64,-13,龚虹嘉、陈春梅夫妇,615,-32%,海康威视,香港,视频监控产品,"57, 57"
64,91,李泽楷,615,62%,电讯盈科,香港,电信,56
64,61,汪俊林,615,28%,郎酒,四川成都,房地产、白酒,60
67,-21,张勇、舒萍夫妇,610,-36%,海底捞,新加坡,餐饮,"51, 52"
68,11,刘金成、骆锦红夫妇,605,-13%,亿纬锂能,广东惠州,锂电池,"58, 55"
69,-6,缪汉根、朱红梅夫妇,595,-26%,盛虹,江苏苏州,印染、化纤、房地产,"57, 59"
70,-1,于泳,590,-20%,鸿商产业,上海,钼矿,-
71,20,姚良松,585,-2%,欧派家居,广东广州,橱柜,58
71,-16,张聪渊家族,585,-34%,华利实业,广东中山,鞋业,74
73,22,陈丽华,580,0%,富华,北京,房地产、紫檀博物馆,81
73,10,蒋卫平家族,580,-12%,天齐,四川遂宁,锂矿,67
75,18,郭台铭,570,-3%,鸿海,台湾台北,电子制造,72
76,23,沈国军家族,565,-2%,银泰,北京,零售、房地产、物流,60
76,29,王来胜、王雅媛父女,565,2%,立讯精密,广东深圳,消费电子,"58, 30"
76,159,邬建树,565,113%,拓普,浙江宁波,汽车零部件制造,58
79,31,王来春,560,5%,立讯精密,广东深圳,消费电子,55
79,217,张和君,560,149%,德业股份,浙江宁波,电器零部件制造,70
81,62,高纪凡家族,525,22%,天合光能,江苏常州,光伏产品,57
82,-2,孙飘扬,520,-23%,恒瑞,江苏连云港,医药,64
83,1,曹仁贤,510,-22%,阳光电源,安徽合肥,光伏设备,54
83,3,李平,510,-20%,宁德时代,福建宁德,锂电池,54
83,-26,林建华、张虹夫妇,510,-40%,福斯特,浙江杭州,光伏材料,"60, 62"
83,-8,钟慧娟,510,-27%,翰森,江苏连云港,医药,61
87,30,陈天桥、雒芊芊夫妇,500,0%,盛大,美国加州,投资,"49, 48"
87,31,赖海民,500,0%,鸿荣源,广东深圳,房地产,56
87,-29,汪立平家族,500,-41%,恒立液压,江苏常州,高压油缸,56
87,38,汪滔,500,4%,大疆,广东深圳,无人机,42
87,62,许仰天,500,25%,希音,广东广州,电商,39
87,-14,朱孟依家族,500,-30%,合生创展,广东广州,房地产、投资,63
93,11,赵燕家族,495,-12%,华熙国际,北京,生物医药、房地产,56
94,-7,蔡崇信,490,-22%,阿里系,香港,电子商务、金融科技,58
94,1,杜纪川,490,-16%,金士顿科技,美国洛杉矶,半导体,81
94,1,孙大卫,490,-16%,金士顿科技,美国洛杉矶,半导体,71
94,208,严昕,490,123%,苏商,江苏淮安,基础设施建设,39
98,39,孙寿宽,480,7%,嘉晨,辽宁营口,钢铁、耐火材料、煤化工,73
99,17,方威,460,-10%,方大,北京,碳素、钢铁、煤焦,49
99,42,简军,460,5%,爱美客,北京,生物制药,59
101,-35,丁世忠,455,-41%,安踏,福建厦门,体育用品,52
102,-27,李革、赵宁夫妇,450,-36%,药明康德,上海,医药,"55, 56"
102,73,李天颖家族,450,32%,新鸿基,香港,房地产,-
102,20,鲁伟鼎家族,450,-8%,万向,浙江杭州,汽车制造业、房地产、农业,51
105,5,程雪,440,-18%,海天味业,广东佛山,调味品,52
105,-38,丁世家,440,-42%,安踏,福建厦门,体育用品,58
105,-34,李晓明家族,440,-39%,恩捷股份,云南玉溪,包装盒生产,64
105,122,王一鸣家族,440,60%,锦浪科技,浙江宁波,光伏逆变器,41
109,-3,蔡奎家族,435,-21%,龙湖,香港,房地产,61
110,-10,阮洪良家族,430,-25%,福莱特,浙江嘉兴,玻璃,61
110,24,阮立平,430,-7%,公牛,浙江宁波,插座,58
110,24,阮学平,430,-7%,公牛,浙江宁波,插座,50
110,41,孙广信,430,10%,广汇,新疆乌鲁木齐,汽车销售、能源、房地产,60
114,121,项光达,425,60%,青山控股,浙江温州,钢铁,64
114,46,朱艳家族,425,18%,贝壳,北京,房地产服务,51
116,28,赖梅松,420,-1%,中通,上海,物流,52
116,-53,虞仁荣,420,-48%,韦尔股份,上海,半导体,56
